OBJECTID,名称,建造时间,建筑面积,层数,结构类型,层高,特殊情况,结构功能,占地面积
795,新北川建筑,2010,803.4324949,3,0,3.6,无,住宅,803.4324949
796,新北川建筑,2010,944.3494239,6,0,3.3,无,住宅,944.3494239
797,新北川建筑,2010,563.4507382,6,0,3.3,无,住宅,563.4507382
798,新北川建筑,2010,599.4252321,6,0,3.3,无,住宅,599.4252321
799,新北川建筑,2010,502.016053,2,0,3.6,无,住宅,502.016053
800,新北川建筑,2010,1134.377273,6,0,3.3,无,住宅,1134.377273
801,新北川建筑,2010,902.8239373,6,0,3.3,无,住宅,902.8239373
802,新北川建筑,2010,706.8441496,6,0,3.3,无,住宅,706.8441496
803,新北川建筑,2010,198.7951085,2,0,3.6,无,住宅,198.7951085
804,新北川建筑,2010,781.9623062,6,0,3.3,无,住宅,781.9623062
805,新北川建筑,2010,1076.501135,6,0,3.3,无,住宅,1076.501135
806,新北川建筑,2010,1083.90312,6,0,3.3,无,住宅,1083.90312
807,新北川建筑,2010,854.6219454,6,0,3.3,无,住宅,854.6219454
808,新北川建筑,2010,820.3514076,6,0,3.3,无,住宅,820.3514076
809,新北川建筑,2010,957.0992456,6,0,3.3,无,住宅,957.0992456
810,新北川建筑,2010,225.1505844,2,0,3.6,无,住宅,225.1505844
811,新北川建筑,2010,214.2561688,2,0,3.6,无,住宅,214.2561688
812,新北川建筑,2010,690.8038951,6,0,3.3,无,住宅,690.8038951
813,新北川建筑,2010,1050.398599,6,0,3.3,无,住宅,1050.398599
814,新北川建筑,2010,765.6604459,6,0,3.3,无,住宅,765.6604459
815,新北川建筑,2010,739.2515126,6,0,3.3,无,住宅,739.2515126
816,新北川建筑,2010,604.0666627,3,0,3.6,无,住宅,604.0666627
817,新北川建筑,2010,117.8470473,3,0,3.6,无,住宅,117.8470473
818,新北川建筑,2010,321.3191137,3,0,3.6,无,住宅,321.3191137
819,新北川建筑,2010,462.2843275,3,0,3.6,无,住宅,462.2843275
820,新北川建筑,2010,1304.598527,3,0,3.6,无,住宅,1304.598527
821,新北川建筑,2010,885.4589891,3,0,3.6,无,住宅,885.4589891
822,新北川建筑,2010,111.031094,3,0,3.6,无,住宅,111.031094
823,新北川建筑,2010,110.1695465,3,0,3.6,无,住宅,110.1695465
824,新北川建筑,2010,337.574922,3,0,3.6,无,住宅,337.574922
825,新北川建筑,2010,860.7052879,3,0,3.6,无,住宅,860.7052879
826,新北川建筑,2010,202.2550883,3,0,3.6,无,住宅,202.2550883
827,新北川建筑,2010,104.9671832,1,0,3.6,无,住宅,104.9671832
828,新北川建筑,2010,373.7920509,3,0,3.6,无,住宅,373.7920509
829,新北川建筑,2010,525.6794916,3,0,3.6,无,住宅,525.6794916
830,新北川建筑,2010,489.7365711,3,0,3.6,无,住宅,489.7365711
831,新北川建筑,2010,128.5636115,3,0,3.6,无,住宅,128.5636115
832,新北川建筑,2010,104.3019536,3,0,3.6,无,住宅,104.3019536
833,新北川建筑,2010,53.77348501,1,0,3.6,无,住宅,53.77348501
834,新北川建筑,2010,216.9625551,3,0,3.6,无,住宅,216.9625551
835,新北川建筑,2010,121.7596832,3,0,3.6,无,住宅,121.7596832
836,新北川建筑,2010,121.581718,3,0,3.6,无,住宅,121.581718
837,新北川建筑,2010,133.2150445,3,0,3.6,无,住宅,133.2150445
838,新北川建筑,2010,227.2810262,3,0,3.6,无,住宅,227.2810262
839,新北川建筑,2010,152.6507704,3,0,3.6,无,住宅,152.6507704
840,新北川建筑,2010,122.1951622,3,0,3.6,无,住宅,122.1951622
841,新北川建筑,2010,131.3956157,3,0,3.6,无,住宅,131.3956157
842,新北川建筑,2010,396.9852411,3,0,3.6,无,住宅,396.9852411
843,新北川建筑,2010,158.8319295,3,0,3.6,无,住宅,158.8319295
844,新北川建筑,2010,470.8128089,3,0,3.6,无,住宅,470.8128089
845,新北川建筑,2010,89.48315293,3,0,3.6,无,住宅,89.48315293
846,新北川建筑,2010,1091.609033,3,0,3.6,无,住宅,1091.609033
847,新北川建筑,2010,103.3513391,3,0,3.6,无,住宅,103.3513391
848,新北川建筑,2010,259.2512117,3,0,3.6,无,住宅,259.2512117
849,新北川建筑,2010,367.1148871,2,0,3.6,无,住宅,367.1148871
850,新北川建筑,2010,965.449629,1,0,3.6,无,住宅,965.449629
851,新北川建筑,2010,138.1728092,3,0,3.6,无,住宅,138.1728092
852,新北川建筑,2010,353.5078724,3,0,3.6,无,住宅,353.5078724
853,新北川建筑,2010,220.0604595,1,0,3.6,无,住宅,220.0604595
854,新北川建筑,2010,634.7135505,3,0,3.6,无,住宅,634.7135505
855,新北川建筑,2010,473.4383327,1,0,3.6,无,住宅,473.4383327
856,新北川建筑,2010,435.3101278,2,0,3.6,无,住宅,435.3101278
857,新北川建筑,2010,1726.094432,6,0,3.3,无,住宅,1726.094432
858,新北川建筑,2010,464.0730331,1,0,3.6,无,住宅,464.0730331
859,新北川建筑,2010,941.3269274,6,0,3.3,无,住宅,941.3269274
860,新北川建筑,2010,903.6405056,6,0,3.3,无,住宅,903.6405056
861,新北川建筑,2010,68.45034733,1,0,3.6,无,住宅,68.45034733
862,新北川建筑,2010,160.8030959,2,0,3.6,无,住宅,160.8030959
863,新北川建筑,2010,1120.643276,6,0,3.3,无,住宅,1120.643276
864,新北川建筑,2010,787.4416062,6,0,3.3,无,住宅,787.4416062
865,新北川建筑,2010,157.5566466,2,0,3.6,无,住宅,157.5566466
866,新北川建筑,2010,326.7385806,3,0,3.6,无,住宅,326.7385806
867,新北川建筑,2010,170.7374092,2,0,3.6,无,住宅,170.7374092
868,新北川建筑,2010,287.4893776,3,0,3.6,无,住宅,287.4893776
869,新北川建筑,2010,39.4686014,1,0,3.6,无,住宅,39.4686014
870,新北川建筑,2010,922.5107819,6,0,3.3,无,住宅,922.5107819
871,新北川建筑,2010,271.8132446,1,0,3.6,无,住宅,271.8132446
872,新北川建筑,2010,317.7839787,3,0,3.6,无,住宅,317.7839787
873,新北川建筑,2010,33.49163571,1,0,3.6,无,住宅,33.49163571
874,新北川建筑,2010,96.40646888,1,0,3.6,无,住宅,96.40646888
875,新北川建筑,2010,1200.519871,6,0,3.3,无,住宅,1200.519871
876,新北川建筑,2010,747.4652642,6,0,3.3,无,住宅,747.4652642
877,新北川建筑,2010,605.867543,3,0,3.3,无,住宅,605.867543
878,新北川建筑,2010,591.8022007,3,0,3.3,无,住宅,591.8022007
879,新北川建筑,2010,619.2418281,3,0,3.3,无,住宅,619.2418281
880,新北川建筑,2010,355.9321307,3,0,3.3,无,住宅,355.9321307
881,新北川建筑,2010,384.5178442,3,0,3.3,无,住宅,384.5178442
882,新北川建筑,2010,534.7243851,3,0,3.3,无,住宅,534.7243851
883,新北川建筑,2010,243.2504998,3,0,3.3,无,住宅,243.2504998
884,新北川建筑,2010,612.8297384,3,0,3.3,无,住宅,612.8297384
885,新北川建筑,2010,327.2462322,3,0,3.3,无,住宅,327.2462322
886,新北川建筑,2010,506.6846122,3,0,3.3,无,住宅,506.6846122
887,新北川建筑,2010,264.2097259,3,0,3.3,无,住宅,264.2097259
888,新北川建筑,2010,598.0890615,3,0,3.3,无,住宅,598.0890615
889,新北川建筑,2010,475.2454759,3,0,3.3,无,住宅,475.2454759
890,新北川建筑,2010,257.4597546,3,0,3.3,无,住宅,257.4597546
891,新北川建筑,2010,343.9819061,3,0,3.3,无,住宅,343.9819061
892,新北川建筑,2010,506.3724367,3,0,3.3,无,住宅,506.3724367
893,新北川建筑,2010,272.8552405,3,0,3.3,无,住宅,272.8552405
894,新北川建筑,2010,281.0916152,3,0,3.3,无,住宅,281.0916152
895,新北川建筑,2010,558.0700746,3,0,3.3,无,住宅,558.0700746
896,新北川建筑,2010,364.1658235,3,0,3.3,无,住宅,364.1658235
897,新北川建筑,2010,589.4110234,3,0,3.3,无,住宅,589.4110234
898,新北川建筑,2010,610.9074362,3,0,3.3,无,住宅,610.9074362
899,新北川建筑,2010,574.8199273,3,0,3.3,无,住宅,574.8199273
900,新北川建筑,2010,586.6486901,3,0,3.3,无,住宅,586.6486901
901,新北川建筑,2010,573.559471,3,0,3.3,无,住宅,573.559471
902,新北川建筑,2010,571.788808,3,0,3.3,无,住宅,571.788808
903,新北川建筑,2010,280.4772739,3,0,3.3,无,住宅,280.4772739
904,新北川建筑,2010,1462.54708,5,0,3.6,无,住宅,1462.54708
905,新北川建筑,2010,2183.475526,5,0,3.6,无,住宅,2183.475526
906,新北川建筑,2010,893.0607637,4,0,3.6,无,住宅,893.0607637
907,新北川建筑,2010,6631.107323,1,0,10,无,住宅,6631.107323
908,新北川建筑,2010,1084.919209,3,0,3.6,无,住宅,1084.919209
909,新北川建筑,2010,1240.765609,4,0,3.6,无,住宅,1240.765609
910,新北川建筑,2010,1125.829339,8,1,3.6,无,住宅,1125.829339
911,新北川建筑,2010,852.3914388,5,0,3.6,无,住宅,852.3914388
